id,title,author,isbn,annual circs
234,Clear and present danger /,"Clancy, Tom,",9780896219304,1
235,Cleopatra's nose :,"Boorstin, Daniel J.",9780679435051,1
236,Cleopatra's sister :,"Lively, Penelope,",9780060166670,1
237,The client /,"Grisham, John.",9780385424714,1
238,Cloud chamber :,"Dorris, Michael.",9780684815671,1
239,The cloud forest :,"Matthiessen, Peter.",9780140095494,1
240,Cloudland /,"Burningham, John.",9780517709290,1
241,A cold red sunrise :,"Kaminsky, Stuart M.",9780684189055,1
242,The collected poems of Langston Hughes /,"Hughes, Langston,",9780679426318,1
243,Color in watercolor /,"Blake, Wendon",9780823007448,1
244,Come to grief /,"Francis, Dick.",9780399140822,1
245,"Comets, meteors, and asteroids /","Simon, Seymour.",9780688127091,1
246,Comic lives :,"Borns, Betsy",9780671626204,1
247,Compelling evidence /,"Martini, Steve,",9780399137129,1
248,The complete book of victims' rights /,"Wilson, Debra J.",9780963728517,1
249,The complete decorating and home improvement book :,"Lawrence, Mike.",9781840380521,1
250,The complete guide to contracting your home :,"McGuerty, Dave,",9781558702295,1
251,The complete guide to writing fiction and nonfiction--and getting it published /,"Kubis, Patricia.",9780131610194,1
252,The complete poems of Emily Jane Brontë /,"Brontë, Emily,",9780231103473,1
253,Contagion /,"Cook, Robin,",9780399141065,1
254,Cooking the South American way /,"Parnell, Helga.",9780822509257,1
255,Corgiville fair.,"Tudor, Tasha.",9780690217919,1
256,The Count of Monte Cristo /,"Dumas, Alexandre,",9780679601999,1
257,Country angel Christmas /,"DePaola, Tomie,",9780399228179,1
258,Country angel Christmas /,"DePaola, Tomie,",9780399228179,1
259,Cowboy /,"Murdoch, David Hamilton,",9780789458544,1
260,Cowgirls /,"Savage, Candace Sherk,",9780898158304,1
261,Crafts for Hanukkah /,"Ross, Kathy",9781562949198,1
262,Crafts for Valentine's Day /,"Ross, Kathy",9781562944896,1
263,Cranberry Halloween /,"Devlin, Wende.",9780590078542,1
264,Crash /,"Spinelli, Jerry.",9780679879572,1
265,"Creak, thump, bonk! :","Roth, Susan L.",9780689802904,1
266,"Creepy, crawly caterpillars /","Facklam, Margery.",9780316273916,1
267,Crinkleroot's guide to walking in wild places /,"Arnosky, Jim.",9780027058420,1
268,Crinkleroot's guide to knowing animal habitats /,"Arnosky, Jim.",9780689805837,1
269,Crossing the Delaware :,"Peacock, Louise.",9780689809941,1
270,Cruel justice /,"Bernhardt, William,",9780345386847,1
271,Cry baby /,"Brown, Ruth.",9780525459026,1
272,Crystal and gem /,"Symes, R. F.",9780679807810,1
273,Crystal line /,"McCaffrey, Anne.",9780345379849,1
274,The cunning man :,"Davies, Robertson,",9780670859115,1
275,"Curious George goes to the hospital,","Rey, Margret",9780395181584,1
276,"""D"" is for deadbeat :","Grafton, Sue.",9780816151479,1
277,D.W.'s lost blankie /,"Brown, Marc Tolon.",9780316109147,1
278,Daddy Longlegs at Birch Lane /,"Brenna, Beverley,",9781568993218,1
279,Dairy-free cookbook /,"Zukin, Jane.",9780761514671,1
280,Daisy and the Girl Scouts :,"Brown, Fern G.",9780807514405,1
