title,author,isbn,annual circs
title,author,isbn,count
Blaze and the gray spotted pony /,"Anderson, C. W.",068981741X (Aladdin pbk.),2
A Christmas journey /,"Perry, Anne.",034546673X,2
The Amulet of Samarkand /,"Stroud, Jonathan.",078681859X :,2
Diary of a worm /,"Cronin, Doreen,",006000150X :,2
Judy Moody predicts the future /,"McDonald, Megan",076361792X (lib. bdg.) :,2
Hidden prey /,"Sandford, John,",039915180X,2
Hidden prey /,"Sandford, John,",039915180X,2
Calder promise /,"Dailey, Janet.",075820440X :,2
Nights of rain and stars /,"Binchy, Maeve.",052594754X :,2
The surrogate thief /,"Mayor, Archer.",089296815X,2
Monster trucks! /,"Todd, Mark,",061818208X :,2
Even cowgirls get the blues /,"Robbins, Tom.",055334949X (pbk.) :,2
A bit on the side /,"Trevor, William,",067003343X :,2
Don't let the peas touch! and other stories /,"Blumenthal, Deborah.",043929732X :,2
Four fish :,"Flanagan, Alice K.",156766699X :,2
My Antonia /,"Cather, Willa,",067944727X :,2
Locked rooms : ,"King, Laurie R.",055380197X,2
The position :,"Wolitzer, Meg.",074326178X :,2
Three about Thurston /,"Milord, Susan.",061842850X :,2
Dark harbor /,"Hosp, David.",044657693X :,2
Piggy and Dad go fishing /,"Martin, David,",076362506X (lib. bdg.) :,2
"Mary, Mary :","Patterson, James,",031615976X,2
The lighthouse /,"James, P. D.",030726291X :,2
1491 :,"Mann, Charles C.",140004006X :,2
Judy Moody declares independence /,"McDonald, Megan",076362361X :,2
Oh what a slaughter :,"McMurtry, Larry.",074325077X :,2
"Chilton import car repair manual, 1993-1997.",,080197920x,2
The Hot Flash Club chills out :,"Thayer, Nancy,",034548553X (alk. paper) :,2
Olivia forms a band /,"Falconer, Ian,",141692454X (lib. bdg.) :,2
Everyman /,"Roth, Philip.",061873516X :,2
The liberation of Gabriel King /,"Going, K. L.",039923991X :,2
Giada's family dinners /,"De Laurentiis, Giada.",030723827X :,2
Move! /,"Jenkins, Steve,",061864637X :,2
The widow /,"Neggers, Carla.",077832303X :,2
The life and times of the thunderbolt kid :,"Bryson, Bill.",076791936X :,2
Imperium :,"Harris, Robert,",074326603X :,2
Strike force /,"Brown, Dale",006117310X,2
The library dragon /,"Deedy, Carmen Agra.",156145091X :,2
The sociopath next door :,"Stout, Martha,",076791581X,2
Unlucky 13 /,"Patterson, James,",031621129X (hrd) | 97803162112,2
The Quinn legacy /,"Roberts, Nora.",042520815X (pbk.),2
Ruling planets :,"Renstrom, Christopher.",006019992X,2
10 minutes till bedtime /,"Rathmann, Peggy",039923103X,3
10 minutes till bedtime /,"Rathmann, Peggy",039923103X,3
Agatha Christie's detectives :,"Christie, Agatha,",051737997X | 0517379988 (lib. bdg.),3
Barnyard banter /,"Fleming, Denise,",080501957X (acidfree paper),3
Behold-- the dragons! /,"Gibbons, Gail.",068815526X (trade) | 0688155278 (library),3
Black cross /,"Iles, Greg.",052593829X,3
Cars! cars! cars! /,"Maccarone, Grace.",059047572X :,3
Do you want to be my friend?,"Carle, Eric.",069024276X,3
Dudley bakes a cake /,"Cross, Peter,",039921450X :,3
Firehorse Max /,"London, Sara.",006205094X :,3
Grandpa takes me to the moon /,"Gaffney, Timothy R.",068813937X,3
Where I live /,"Goennel, Heidi.",068814148X :,3
Mud /,"Ray, Mary Lyn.",015256263X,3
Murder on the Orient Express /,"Christie, Agatha,",039608575X :,3
The mysterious affair at Styles :,"Christie, Agatha,",081616343X,3
Ogbo :,"Onyefulu, Ifeoma.",015200498X,3
Out to Canaan /,"Karon, Jan,",067087485X,3
The ragman's memory /,"Mayor, Archer H.",089296636X,3
Self-defense /,"Kellerman, Jonathan.",055308920X : | 0553840029,3
Sylvester and the magic pebble /,"Steig, William,",067166154X,3
Too many cooks /,"Stout, Rex,",055327290X (pbk.),3
Training your dog: the step-by-step manual /,"Volhard, Joachim.",087605775X,3
The Usborne book of cutaway boats /,"Maynard, Christopher.",088110888X :,3
The World's last mysteries /,,089577044X :,3
The angry tide :,"Graham, Winston.",038513682X :,3
The cider house rules :,"Irving, John,",068803036X | 0688057624 (lim. ed.),3
Foreign affairs /,"Lurie, Alison.",039454076X :,3
The ark /,"Geisert, Arthur.",039543078X :,3
The mitten :,"Brett, Jan,",039921920X,3
"I, robot /","Asimov, Isaac,",078577338X  (rebound) :,3
The unexpected guest :,"Osborne, Charles,",031224262X,3
