title,author,isbn,count
"Assassination vacation /","Vowell, Sarah,","0743260031 :",1
"The bone collector /","Deaver, Jeffery.","067086871X (alk. paper)",1
"So many circles, so many squares /","Hoban, Tana.",0688151655,1
"Olivia /","Falconer, Ian.",0689829531,1
"The invisible bridge /","Orringer, Julie","9781400041169 : | 1400041163 :",1
"A fine and bitter snow :","Stabenow, Dana.",0312205481,1
"Great Brain (audiobook)",,,1
"The visible world /","Slouka, Mark.","9780618756438 : | 0618756434 :",1
"Penguin on vacation /","Yoon, Salina,","9780802733979 : | 0802733972 :",1
"The Genius of design.",,"9781598284683 | 1598284681",1
"The Russian girl /","Amis, Kingsley.","0670853291 :",1
"The Attenbury emeralds :","Paton Walsh, Jill,","9781250002594 : PAP | 12500025",1
"A presumption of death /","Paton Walsh, Jill,","0312291000 :",1
"Killing time :","Carr, Caleb,","0679463321 (acidfree paper)",1
"Be careful what you wish for","Archer, Jeffrey,","9781427239365 | 1427239363",1
"Kids crochet :","Ronci, Kelli.","1584794135 :",1
"The goblin baby /","Doherty, Berlie.","9780375958410 (lib. bdg.) : | ",1
"Bravo, Mia! /","Yep, Laurence,","9781593694104 (pbk.) : | 15936",1
"Mia /","Yep, Laurence,","9781593694098 (pbk.) : | 15936",1
"The hen who dreamed she could fly :","Hwang, Sun-mi,","9780606350945 : PBD | 06063509",1
"The distance to home /","Bishop, Jenn,","9781101938713 : HRD | 1101938714 : HRD",1
"The friendship riddle /","Blakemore, Megan Frazer.","9781619636309 : HRD | 1619636301 : HRD",1
"Super sad true love story :","Shteyngart, Gary,","9781400066407 : | 1400066409 :",1
"Call it courage /","Sperry, Armstrong,",,1
"The Perfect book of doll clothes /",,"0806984740 :",1
"Remembering Crystal","Loth, Sebastian","9780735823006 : HRD | 07358230",1
"Molly Moon stops the world /","Byng, Georgia.","0060514132 (lib. bdg.) : | 006",1
"Rain reign /","Martin, Ann M.,","9780312643003 : HRD | 0312643004 : HRD",1
"The first step :","Goodman, Susan E.,","9780802737397 : SAL | 0802737390 : SAL",1
Elementary.,,"1415768803 | 9781415768808",1
"The Pickwick papers /","Dickens, Charles,",,1
"Chinese fables :","Nunes, Shiho S.,","9780804841528 : HRD | 08048415",1
"Speakers of the dead /","Sanders, J. Aaron,","9780399565274 : CMD | 0399565272 : CMD",1
"Perfect snow /","Reid, Barbara,","9780807564929 (lib. bdg.) : | 0807564923 (lib. bdg.) :",1
"All you need for a snowman /","Schertle, Alice.","015200789X :",1
"Peter and the wolf","Prokofiev, Sergey,","9781932684124 : | 1932684123 :",1
