id,title,author,isbn,annual circs
165,Nano /,"Marlow, John Robert.",9780765301291,17
166,Cities of the plain /,"McCarthy, Cormac,",9780679423904,8
167,Lions of July :,"Jannen, William,",9780891415695,25
168,October smiled back /,"Peters, Lisa Westberg.",9780805017762,58
169,Jungle Halloween /,"Cocca-Leffler, Maryann,",9780807540565,38
170,Ramadan /,"Ghazi, Suhaib Hamid.",9780823412549,38
171,Dachau 29 April 1945 :,,9780896723917,15
172,Wemberly worried /,"Henkes, Kevin.",9780688170271,48
173,The best little girl in the world /,"Levenkron, Steven,",9780809276998,24
174,Good food for camp & trail :,"Miller, Dorcas S.,",9780871088116,37
175,Mrs. Malory :,"Holt, Hazel,",9780525941507,44
176,Ivan the Terrible,"Payne, Robert,",9780690005820,26
177,The chocolate touch /,"Catling, Patrick Skene.",9780688221874,114
178,Charles Sheeler /,"Sheeler, Charles,",9780823047994,9
179,The life of Thomas More /,"Ackroyd, Peter,",9780385477093,24
180,The sugar snow spring.,"Hoban, Lillian.",9780060223335,35
181,Carpenter's gothic /,"Gaddis, William,",9780670697939,10
183,The Cow buzzed /,"Zimmerman, Andrea Griffing.",9780060208080,102
184,The respiratory system /,"Stille, Darlene R.",9780516204482,104
185,Dear Irene :,"Burke, Jan.",9780671782160,88
187,Belle Teal /,"Martin, Ann M.,",9780439098236,36
188,The bookman's promise :,"Dunning, John,",9780743249928,33
189,Paris without end :,"Perl, Jed.",9780865473133,11
190,Golf skills :,"Hyder, Roger.",9781552094075,44
191,Ralph S. Mouse /,"Cleary, Beverly.",9780688014520,60
192,Ralph S. Mouse /,"Cleary, Beverly.",9780688014520,95
193,The Julius House :,"Harris, Charlaine.",9780684196404,75
195,The literary life and other curiosities /,"Hendrickson, Robert,",9780670430291,14
196,Maggie's American dream :,"Comer, James P.",9780453005883,12
197,Gershon's monster :,"Kimmel, Eric A.",9780439108393,21
198,Lonely planet unpacked :,,9781864500622,22
199,Small steps :,"Kehret, Peg.",9780807574577,15
201,Halloween Motel /,"Diviny, Sean.",9780060288150,68
202,The lake of tears /,"Rodda, Emily.",9780545460217,14
203,"Many lives, many masters /","Weiss, Brian L.",9780446520591,154
204,The best awful there is /,"Fisher, Carrie.",9780684809137,28
205,N. C. Wyeth :,"Wyeth, N. C.",9780517207253,33
206,The spotted cats /,"Tapply, William G.",9780385302333,49
207,The return of the dancing master /,"Mankell, Henning,",9781565848603,50
208,The dance of deception :,"Lerner, Harriet Goldhor.",9780060168162,44
